Province.State,Confirmed,Deaths
Alaska,0,0
Arizona,6,0
Arkansas,0,0
California,144,2
Colorado,15,0
Connecticut,2,0
Delaware,0,0
Diamond Princess,46,0
District of Columbia,5,0
Florida,15,2
Georgia,17,0
Grand Princess,21,0
Hawaii,2,0
Idaho,0,0
Illinois,12,0
Indiana,6,0
Iowa,8,0
Kansas,1,0
Kentucky,6,0
Louisiana,1,0
Maine,0,0
Maryland,8,0
Massachusetts,92,0
Michigan,0,0
Minnesota,3,0
Mississippi,0,0
Missouri,1,0
Montana,0,0
Nebraska,3,0
Nevada,4,0
New Hampshire,4,0
New Jersey,15,1
New Mexico,0,0
New York,173,0
North Carolina,7,0
North Dakota,0,0
Ohio,3,0
Oklahoma,2,0
Oregon,15,0
Pennsylvania,12,0
Rhode Island,3,0
South Carolina,7,0
South Dakota,0,0
Tennessee,7,0
Texas,13,0
Utah,2,0
Vermont,1,0
Virginia,7,0
Washington,267,23
West Virginia,0,0
Wisconsin,3,0
Wyoming,0,0
