Province.State,Confirmed,Deaths
Alabama,39,0
Alaska,3,0
Arizona,20,0
Arkansas,22,0
California,698,12
Colorado,160,2
Connecticut,68,0
Delaware,16,0
Diamond Princess,47,0
District of Columbia,22,0
Florida,216,6
Georgia,146,1
Grand Princess,21,0
Guam,3,0
Hawaii,10,0
Idaho,8,0
Illinois,161,1
Indiana,30,2
Iowa,23,0
Kansas,18,1
Kentucky,26,1
Louisiana,196,4
Maine,32,0
Maryland,60,0
Massachusetts,218,0
Michigan,65,0
Minnesota,60,0
Mississippi,21,0
Missouri,11,0
Montana,9,0
Nebraska,21,0
Nevada,56,1
New Hampshire,26,0
New Jersey,267,3
New Mexico,23,0
New York,1706,13
North Carolina,64,0
North Dakota,3,0
Ohio,67,0
Oklahoma,19,0
Oregon,66,1
Pennsylvania,112,0
Puerto Rico,5,0
Rhode Island,23,0
South Carolina,47,1
South Dakota,11,1
Tennessee,74,0
Texas,110,1
Utah,51,0
Vermont,12,0
Virgin Islands,2,0
Virginia,67,2
Washington,1076,55
West Virginia,1,0
Wisconsin,72,0
Wyoming,11,0
