Province.State,Confirmed,Deaths
Alaska,0,0
Arizona,9,0
Arkansas,1,0
California,177,3
Colorado,34,0
Connecticut,3,0
Delaware,1,0
Diamond Princess,46,0
District of Columbia,10,0
Florida,28,2
Georgia,23,0
Grand Princess,21,0
Hawaii,2,0
Idaho,0,0
Illinois,25,0
Indiana,11,0
Iowa,13,0
Kansas,1,0
Kentucky,8,0
Louisiana,6,0
Maine,0,0
Maryland,9,0
Massachusetts,95,0
Michigan,2,0
Minnesota,5,0
Mississippi,0,0
Missouri,1,0
Montana,1,0
Nebraska,5,0
Nevada,7,0
New Hampshire,5,0
New Jersey,23,1
New Mexico,3,0
New York,220,0
North Carolina,7,0
North Dakota,0,0
Ohio,4,0
Oklahoma,2,0
Oregon,19,0
Pennsylvania,16,0
Rhode Island,5,0
South Carolina,10,0
South Dakota,8,1
Tennessee,9,0
Texas,21,0
Utah,3,0
Vermont,1,0
Virginia,9,0
Washington,366,29
West Virginia,0,0
Wisconsin,6,0
Wyoming,0,0
